"Name","Genre"
"Sojdrag","m"
"Srečko","m"
"Stagoj","m"
"Stamer","m"
"Stan?o","m"
"Stane","m"
"Stanigoj","m"
"Stanislav","m"
"Stanko","m"
"Stano","m"
"Stančo","m"
"Stefan","m"
"Stjepan","m"
"Stojan","m"
"Stojdrag","m"
"Stojgoj","m"
"Stojmer","m"
"Stojše","m"
"Stradoslav","m"
"Stranimir","m"
"Stregomil","m"
"Suhlin","m"
"Svarunja","m"
"Svegoj","m"
"Sveljub","m"
"Svemisl","m"
"Sveslav","m"
"Svetec","m"
"Svetin","m"
"Svetogoj","m"
"Svetoplug","m"
"Svetopolk","m"
"Svetoslav","m"
"Svetošej","m"
"Svetuš","m"
"Svobodin","m"
"Tadej","m"
"Tal","m"
"Taljub","m"
"Taras","m"
"Tetovid","m"
"Tihodrag","m"
"Tihomer","m"
"Tihomir","m"
"Tihožit","m"
"Til","m"
"Tilen","m"
"Tim","m"
"Timi","m"
"Timon","m"
"Timotej","m"
"Tin","m"
"Tine","m"
"Tinej","m"
"Tom","m"
"Tomas","m"
"Tomaž","m"
"Tomi","m"
"Tomislav","m"
"Toni","m"
"Trdač","m"
"Trdoboj","m"
"Trdodrag","m"
"Trdoglav","m"
"Trdogoj","m"
"Trdomir","m"
"Trdoslav","m"
"Trebec","m"
"Trebegoj","m"
"Trebibor","m"
"Trebibrat","m"
"Trebigost","m"
"Trebil","m"
"Trebimir","m"
"Trebivit","m"
"Trebišin","m"
"Trebišnež","m"
"Trebnik","m"
"Truden","m"
"Trudopolk","m"
"Unislav","m"
"Unčat","m"
"Urban","m"
"Uroš","m"
"Val","m"
"Valentin","m"
"Valentino","m"
"Valhun","m"
"Valter","m"
"Valuk","m"
"Vasja","m"
"Vekoslav","m"
"Velišnik","m"
"Večegoj","m"
"Vid","m"
"Videc","m"
"Vidoš","m"
"Viktor","m"
"Vilan","m"
"Viljem","m"
"Vincenc","m"
"Vincencij","m"
"Vinko","m"
"Vit","m"
"Vitamisl","m"
"Vitan","m"
"Vitemar","m"
"Vitemir","m"
"Vitigon","m"
"Vitislav","m"
"Vitko","m"
"Vito","m"
"Vitobrater","m"
"Vitoglav","m"
"Vitomir","m"
"Vitoslav","m"
"Višegnev","m"
"Višegoj","m"
"Višemir","m"
"Vladimir","m"
"Vlado","m"
"Vojko","m"
"Vojmir","m"
"Vojnomir","m"
"Volkota","m"
"Volkun","m"
"Volčina","m"
"Zababerad","m"
"Zadrag","m"
"Zal","m"
"Zdemir","m"
"Zdene","m"
"Zdenko","m"
"Zdravko","m"
"Zememisl","m"
"Zemetek","m"
"Zemiboned","m"
"Zemidrag","m"
"Zemidrug","m"
"Zemignev","m"
"Zemigoj","m"
"Zemislav","m"
"Zlatko","m"
"Zlebor","m"
"Zlodej","m"
"Zoban","m"
"Zoran","m"
"Zverko","m"
"Zvone","m"
"Zvonimir","m"
"Zvonko","m"
"Žan","m"
"Žan Luka","m"
"Železen","m"
"Željko","m"
"Čestimir","m"
"Židislav","m"
"Žiga","m"
"Žilič","m"
"Čistilo","m"
"Žitigoj","m"
"Žitiljub","m"
"Žitivit","m"
"Žitomir","m"
"Žitomisl","m"
"Života","m"
"Žizemir","m"
"Žižnec","m"
"Žoltin","m"
"Črnel","m"
"Črni","m"
"Črt","m"
"Črtomir","m"
"Črven","m"
"Štefan","m"
"Žugoj","m"
"Ščenedrag","m"
